,id,date_time,year,month,mdate,day,time,sensor_id,sensor_name_x,hourly_counts,sensor_description,sensor_name_y,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
62,2887690,11/1/2019,2019,November,1,Friday,18,43,Monash Rd-Swanston St (West),145,Monash Rd-Swanston St (West),UM2_T,4/15/2015,A,,South,North,-37.79844525,144.9641178,"(-37.79844525, 144.96411782)"
63,2887691,11/1/2019,2019,November,1,Friday,18,44,Tin Alley-Swanston St (West),25,Tin Alley-Swanston St (West),UM3_T,4/15/2015,A,,South,North,-37.79690473,144.9644038,"(-37.79690473, 144.96440378)"
64,2887692,11/1/2019,2019,November,1,Friday,18,35,Southbank,"2,292",Southbank,SouthB_T,4/15/2021,A,River side,East,West,-37.82017828,144.9650888,"(-37.82017828, 144.96508877)"
65,2887693,11/1/2019,2019,November,1,Friday,18,45,Little Collins St-Swanston St (East),"1,927",Little Collins St-Swanston St (East),Swa148_T,6/29/2017,A,,North,South,-37.81414074,144.9660938,"(-37.81414074, 144.9660938)"
66,2887694,11/1/2019,2019,November,1,Friday,18,46,Pelham St (S),201,Pelham St (South),Pel147_T,7/10/2017,A,,West,East,-37.80240719,144.9615673,"(-37.80240719, 144.96156731)"
67,2887695,11/1/2019,2019,November,1,Friday,18,47,Melbourne Central-Elizabeth St (East),"1,933",Melbourne Central-Elizabeth St (East),Eli250_T,8/24/2017,A,,South,North,-37.81160331,144.9622008,"(-37.81160331, 144.96220077)"
68,2887696,11/1/2019,2019,November,1,Friday,18,48,QVM-Queen St (East),273,QVM-Queen St (East),QVMQ_T,10/2/2017,A,,East,West,-37.80631581,144.958667,"(-37.80631581, 144.95866698)"
69,2887697,11/1/2019,2019,November,1,Friday,18,49,QVM-Therry St (South),150,QVM-Therry St (South),Eli501_T,11/29/2017,A,,West,East,-37.80730067,144.9595606,"(-37.80730067, 144.95956055)"
70,2887698,11/1/2019,2019,November,1,Friday,18,50,Faraday St-Lygon St (West),624,Faraday St-Lygon St (West),Lyg309_T,11/30/2017,A,,North,South,-37.79808191,144.9672101,"(-37.79808191, 144.96721014)"
71,2887699,11/1/2019,2019,November,1,Friday,18,51,QVM-Franklin St (North),181,QVM-Franklin St (North),Fra118_T,11/30/2017,A,,West,East,-37.80841814,144.9590632,"(-37.80841814, 144.95906317)"
