,ID,Date_Time,Year,Month,Mdate,Day,Time,sensor_id,Sensor_Name,Hourly_Counts,sensor_description,sensor_name,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
106,1683104,11,2016,November,21,Monday,2,37,Lygon St (East),3,Lygon St (East),Lyg260_T,2015/02/11,A,,North,South,-37.80310271,144.96671452,"(-37.80310271, 144.96671452)"
107,1683105,11,2016,November,21,Monday,2,38,Flinders St-Swanston St (West),116,Flinders St-Swanston St (West),Swa11_T,2014/12/05,R,Device has been removed (17/02/2017),,,-37.81723437,144.96715033,"(-37.81723437, 144.96715033)"
108,1683106,11,2016,November,21,Monday,2,39,Alfred Place,3,Alfred Place,AlfPl_T,2019/12/04,A,In 4/12/2019 sensor upgraded,South,North,-37.81379749,144.96995745,"(-37.81379749, 144.96995745)"
109,1683107,11,2016,November,21,Monday,2,40,Lonsdale St-Spring St (West),11,Lonsdale St-Spring St (West),Spr201_T,2015/01/19,A,,South,North,-37.80999341,144.97227588,"(-37.80999341, 144.97227588)"
110,1683108,11,2016,November,21,Monday,2,42,Grattan St-Swanston St (West),8,Grattan St-Swanston St (West),UM1_T,2015/04/15,A,,South,North,-37.80008565,144.96386412,"(-37.80008565, 144.96386412)"
111,1683109,11,2016,November,21,Monday,2,43,Monash Rd-Swanston St (West),5,Monash Rd-Swanston St (West),UM2_T,2015/04/15,A,,South,North,-37.79844525,144.96411782,"(-37.79844525, 144.96411782)"
112,1683110,11,2016,November,21,Monday,2,44,Tin Alley-Swanston St (West),7,Tin Alley-Swanston St (West),UM3_T,2015/04/15,A,,South,North,-37.79690473,144.96440378,"(-37.79690473, 144.96440378)"
113,1683111,11,2016,November,21,Monday,2,53,Collins St (North),14,Collins Street (North),Col254_T,2015/09/23,A,,West,East,-37.8156419,144.965499,"(-37.8156419, 144.965499)"
114,1683112,11,2016,November,21,Monday,3,1,Bourke Street Mall (North),20,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,West,East,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
115,1683113,11,2016,November,21,Monday,3,2,Bourke Street Mall (South),22,Bourke Street Mall (South),Bou283_T,2009/03/30,A,,East,West,-37.81380667,144.96516719,"(-37.81380667, 144.96516719)"
116,1683114,11,2016,November,21,Monday,3,5,Princes Bridge,44,Princes Bridge,PriNW_T,2009/03/26,A,,North,South,-37.81874249,144.96787656,"(-37.81874249, 144.96787656)"
117,1683115,11,2016,November,21,Monday,3,6,Flinders Street Station Underpass,28,Flinders Street Station Underpass,FliS_T,2009/03/25,A,Upgraded on 8/09/21,North,South,-37.81911704,144.96558256,"(-37.81911704, 144.96558256)"
118,1683116,11,2016,November,21,Monday,3,8,Webb Bridge,2,Webb Bridge,WebBN_T,2009/03/24,A,,North,South,-37.82293543,144.94717511,"(-37.82293543, 144.94717511)"
119,1683117,11,2016,November,21,Monday,3,9,Southern Cross Station,2,Southern Cross Station,Col700_T,2009/03/23,A,,East,West,-37.81982992,144.95102556,"(-37.81982992, 144.95102556)"
