,id,date_time,year,month,mdate,day,time,sensor_id,sensor_name_x,hourly_counts,sensor_description,sensor_name_y,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
185034,2654864,5/2/2019,2019,May,2,Thursday,2,8,Webb Bridge,3,Webb Bridge,WebBN_T,3/24/2009,A,,North,South,-37.82293543,144.9471751,"(-37.82293543, 144.94717511)"
185035,2654865,5/2/2019,2019,May,2,Thursday,2,9,Southern Cross Station,8,Southern Cross Station,Col700_T,3/23/2009,A,,East,West,-37.81982992,144.9510256,"(-37.81982992, 144.95102556)"
185036,2654866,5/2/2019,2019,May,2,Thursday,2,10,Victoria Point,1,Victoria Point,BouHbr_T,4/23/2009,A,,West,East,-37.81876473,144.9471055,"(-37.81876473, 144.94710545)"
185037,2654867,5/2/2019,2019,May,2,Thursday,2,11,Waterfront City,1,Waterfront City,WatCit_T,1/20/2009,A,,East,West,-37.81564989,144.939707,"(-37.81564989, 144.93970695)"
185038,2654868,5/2/2019,2019,May,2,Thursday,2,12,New Quay,6,New Quay,NewQ_T,1/21/2009,A,,West,East,-37.81457987,144.942924,"(-37.81457987, 144.94292398)"
185039,2654869,5/2/2019,2019,May,2,Thursday,2,14,Sandridge Bridge,18,Sandridge Bridge,SanBri_T,9/25/2019,A,,North,South,-37.82011242,144.962919,"(-37.82011242, 144.96291898)"
185040,2654870,5/2/2019,2019,May,2,Thursday,2,15,State Library,34,State Library,QV_T,3/25/2009,R,,South,North,-37.81064378,144.9644713,"(-37.81064378, 144.96447132)"
185041,2654871,5/2/2019,2019,May,2,Thursday,2,17,Collins Place (South),13,Collins Place (South),Col15_T,3/30/2009,A,Device is upgraded in 26/02/2020,East,West,-37.81362542,144.9732359,"(-37.81362542, 144.97323592)"
185042,2654872,5/2/2019,2019,May,2,Thursday,2,18,Collins Place (North),8,Collins Place (North),Col12_T,3/30/2009,A,,East,West,-37.81344861,144.9730535,"(-37.81344861, 144.97305354)"
185043,2654873,5/2/2019,2019,May,2,Thursday,2,19,Chinatown-Swanston St (North),42,Chinatown-Swanston St (North),LtB210_T,9/2/2013,A,,East,West,-37.81237202,144.9655067,"(-37.81237202, 144.96550671)"
185044,2654874,5/2/2019,2019,May,2,Thursday,2,20,Chinatown-Lt Bourke St (South),26,Chinatown-Lt Bourke St (South),LtB170_T,9/6/2013,A,,East,West,-37.81172913,144.9682466,"(-37.81172913, 144.9682466)"
185045,2654875,5/2/2019,2019,May,2,Thursday,2,21,Bourke St-Russell St (West),73,Bourke St-Russell St (West),Rus180_T,9/2/2013,A,,South,North,-37.81244703,144.9677876,"(-37.81244703, 144.96778757)"
185046,2654876,5/2/2019,2019,May,2,Thursday,2,22,Flinders St-Elizabeth St (East),129,Flinders St-Elizabeth St (East),Eli274_T,8/12/2013,A,,South,North,-37.81786445,144.9650682,"(-37.81786445, 144.96506823)"
185047,2654877,5/2/2019,2019,May,2,Thursday,2,23,Spencer St-Collins St (South),5,Spencer St-Collins St (South),Col623_T,9/2/2013,A,,East,West,-37.81909256,144.9545275,"(-37.81909256, 144.95452749)"
185048,2654878,5/2/2019,2019,May,2,Thursday,2,24,Spencer St-Collins St (North),25,Spencer St-Collins St (North),Col620_T,9/2/2013,A,,East,West,-37.81887962,144.954492,"(-37.81887962, 144.95449198)"
