,Unnamed: 0,id,date_time,year,month,mdate,day,time,sensor_id,sensor_name_x,hourly_counts,sensor_description,sensor_name_y,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
56,56,2887684,2019-11-01,2019,November,1,Friday,18,39,Alfred Place,384,Alfred Place,AlfPl_T,2019/12/04,A,In 4/12/2019 sensor upgraded,South,North,-37.81379749,144.96995745,"(-37.81379749, 144.96995745)"
57,57,2887685,2019-11-01,2019,November,1,Friday,18,37,Lygon St (East),210,Lygon St (East),Lyg260_T,2015/02/11,A,,North,South,-37.80310271,144.96671452,"(-37.80310271, 144.96671452)"
58,58,2887686,2019-11-01,2019,November,1,Friday,18,40,Lonsdale St-Spring St (West),387,Lonsdale St-Spring St (West),Spr201_T,2015/01/19,A,,South,North,-37.80999341,144.97227588,"(-37.80999341, 144.97227588)"
59,59,2887687,2019-11-01,2019,November,1,Friday,18,36,Queen St (West),496,Queen St (West),Que85_T,2015/01/20,A,,South,North,-37.81652527,144.96121063,"(-37.81652527, 144.96121063)"
60,60,2887688,2019-11-01,2019,November,1,Friday,18,29,St Kilda Rd-Alexandra Gardens,754,St Kilda Rd-Alexandra Gardens,AG_T,2013/10/11,A,sensor upgraded from laser to 3D on 19/12/2019,North,South,-37.81965808,144.96863453,"(-37.81965808, 144.96863453)"
61,61,2887689,2019-11-01,2019,November,1,Friday,18,42,Grattan St-Swanston St (West),447,Grattan St-Swanston St (West),UM1_T,2015/04/15,A,,South,North,-37.80008565,144.96386412,"(-37.80008565, 144.96386412)"
62,62,2887690,2019-11-01,2019,November,1,Friday,18,43,Monash Rd-Swanston St (West),145,Monash Rd-Swanston St (West),UM2_T,2015/04/15,A,,South,North,-37.79844525,144.96411782,"(-37.79844525, 144.96411782)"
63,63,2887691,2019-11-01,2019,November,1,Friday,18,44,Tin Alley-Swanston St (West),25,Tin Alley-Swanston St (West),UM3_T,2015/04/15,A,,South,North,-37.79690473,144.96440378,"(-37.79690473, 144.96440378)"
64,64,2887692,2019-11-01,2019,November,1,Friday,18,35,Southbank,2292,Southbank,SouthB_T,2021/04/15,A,River side,East,West,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)"
65,65,2887693,2019-11-01,2019,November,1,Friday,18,45,Little Collins St-Swanston St (East),1927,Little Collins St-Swanston St (East),Swa148_T,2017/06/29,A,,North,South,-37.81414074,144.9660938,"(-37.81414074, 144.9660938)"
66,66,2887694,2019-11-01,2019,November,1,Friday,18,46,Pelham St (S),201,Pelham St (South),Pel147_T,2017/07/10,A,,West,East,-37.80240719,144.96156731,"(-37.80240719, 144.96156731)"
67,67,2887695,2019-11-01,2019,November,1,Friday,18,47,Melbourne Central-Elizabeth St (East),1933,Melbourne Central-Elizabeth St (East),Eli250_T,2017/08/24,A,,South,North,-37.81160331,144.96220077,"(-37.81160331, 144.96220077)"
